"지역본부","재산 소재지","노선명"," 면적(공부) ","유형분류","현재 사용현황","향후 사용계획 및 추진사항"
"수도권본부","경기도 이천시 부발읍 아미리 35-25","경강선","207","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 이천시 부발읍 아미리 산47-4","경강선","1173","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 여주군 능서면 용은리 452-7","경강선","303","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 광주시 삼동 222-8","경강선","272","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 광주시 장지동 496-7","경강선","204","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 광주시 실촌읍 곤지암리 155","경강선","31","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 이천시 부발읍 신하리 543-3","경강선","331","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 이천시 부발읍 가좌리 196-2","경강선","589","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 이천시 부발읍 가좌리 196-4","경강선","354","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 이천시 부발읍 가좌리 산41-4","경강선","45","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 이천시 부발읍 아미리 1197-4","경강선","425","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 이천시 부발읍 아미리 15","경강선","334","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 이천시 부발읍 아미리 232","경강선","56","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 이천시 부발읍 아미리 산69-11","경강선","150","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 이천시 부발읍 아미리 산73-2","경강선","792","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 이천시 부발읍 가산리 418-21","경강선","203","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 이천시 부발읍 가산리 617","경강선","282","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 이천시 부발읍 가산리 618-1","경강선","77","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 이천시 부발읍 가산리 산61-1","경강선","75","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 이천시 부발읍 가산리 산62-1","경강선","1980","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 여주군 여주읍 교리 131-17","경강선","350","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 여주군 여주읍 교리 131-22","경강선","473","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 여주군 여주읍 교리 131-3","경강선","364","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 여주군 능서면 용은리 399-104","경강선","44","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 여주군 능서면 용은리 399-12","경강선","292","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 여주군 능서면 용은리 399-13","경강선","134","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 여주군 능서면 용은리 399-2","경강선","1349","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 여주군 능서면 용은리 399-89","경강선","83","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 여주군 능서면 용은리 399-92","경강선","415","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 여주군 능서면 신지리 238-9","경강선","144","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 광주시 장지동 495","경강선","497","기타","잔여지","활용계획 검토 중"
"수도권본부","경기도 오산시 내삼미동 331","경부선","1340","기타","나대지(사용허가중-600㎡)","사용허가 계속"
"수도권본부","경기도 오산시 내삼미동 331ㅡ2","경부선","388","기타","사용허가(나대지)","사용허가 계속"
"수도권본부","경기도 오산시 내삼미동 341ㅡ2","경부선","192","기타","도로, 전","도로"
"수도권본부","경기도 오산시 내삼미동 342ㅡ2","경부선","2590","기타","도로, 전","도로"
"수도권본부","경기도 오산시 내삼미동 342ㅡ5","경부선","141","기타","구거","구거"
"수도권본부","경기도 오산시 내삼미동 345ㅡ1","경부선","93","기타","전","매각 검토"
"수도권본부","경기도 오산시 내삼미동 358ㅡ2","경부선","126","기타","전","매각 검토"
"수도권본부","경기도 오산시 내삼미동 371ㅡ1","경부선","148","기타","전","고속도로 법면"
"수도권본부","경기도 오산시 내삼미동 371ㅡ10","경부선","1766","기타","도로","봉담동탄고속도로 하부통로박스"
"수도권본부","경기도 오산시 내삼미동 371ㅡ2","경부선","154","기타","도로","도로"
"수도권본부","경기도 오산시 내삼미동 386","경부선","4303","기타","사용허가(도로 81㎡)","계속 사용허가"
"수도권본부","경기도 오산시 내삼미동 386ㅡ1","경부선","821","기타","도로","도로"
"수도권본부","경기도 오산시 내삼미동 389ㅡ6","경부선","11","기타","전","도로"
"수도권본부","경기도 오산시 내삼미동 445ㅡ1","경부선","276","기타","전","도로법면"
"수도권본부","경기도 오산시 내삼미동 454ㅡ1","경부선","1702","기타","나대지","도로법면"
"수도권본부","경기도 오산시 내삼미동 461ㅡ2","경부선","258","기타","전","매각 검토"
"수도권본부","경기도 오산시 내삼미동 702","경부선","9","기타","도로","매각 검토"
"수도권본부","경기도 오산시 내삼미동 702ㅡ2","경부선","1246","기타","도로","도로"
"수도권본부","경기도 오산시 내삼미동 702ㅡ3","경부선","3442","기타","나대지","도로법면"
"수도권본부","경기도 오산시 내삼미동 702ㅡ4","경부선","545","기타","나대지","매각"
"수도권본부","경기도 오산시 내삼미동 702ㅡ7","경부선","527","기타","도로법면","도로법면"
"수도권본부","경기도 오산시 내삼미동 704ㅡ1","경부선","148","기타","도로, 전","매각"
"수도권본부","경기도 오산시 내삼미동 704ㅡ4","경부선","16","기타","전","도로"
"수도권본부","경기도 오산시 내삼미동 705ㅡ1","경부선","32","기타","도로, 전","도로"
"수도권본부","경기도 오산시 내삼미동 708ㅡ11","경부선","49","기타","도로법면","도로법면"
"수도권본부","경기도 오산시 내삼미동 708ㅡ12","경부선","70","기타","도로법면","도로"
"수도권본부","경기도 오산시 내삼미동 708ㅡ13","경부선","19","기타","도로법면","도로"
"수도권본부","경기도 오산시 내삼미동 산 47ㅡ2","경부선","1190","활용","사용허가(오산폐터널 진출입로) 477㎡","계속 사용허가"
"수도권본부","경기도 오산시 내삼미동 산 47ㅡ4","경부선","99","기타","전","현황도로 및 경사면"
"수도권본부","경기도 오산시 외삼미동 328ㅡ2","경부선","4003","활용","사용허가(오산폐터널 진출입로) 858㎡","계속 사용허가"
"수도권본부","경기도 오산시 외삼미동 328ㅡ8","경부선","946","기타","도로","도로"
"수도권본부","경기도 오산시 외삼미동 331ㅡ3","경부선","2760","활용","사용허가(오산폐터널 진출입로) 504㎡","계속 사용허가"
"수도권본부","경기도 오산시 외삼미동 337ㅡ2","경부선","1584","기타","도로","도로"
"수도권본부","경기도 오산시 외삼미동 337ㅡ5","경부선","743","기타","도로","도로"
"수도권본부","경기도 오산시 외삼미동 355ㅡ2","경부선","3742","기타","도로","도로"
"수도권본부","경기도 오산시 외삼미동 615ㅡ3","경부선","36","기타","도로","북오산ic 진출입로"
"수도권본부","경기도 오산시 외삼미동 615ㅡ46","경부선","284","기타","도로","북오산ic 진출입로"
"수도권본부","경기도 오산시 외삼미동 615ㅡ47","경부선","746","기타","도로","도로"
"수도권본부","경기도 오산시 외삼미동 615ㅡ48","경부선","23","기타","도로","도로"
