,시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소
0,서울,공진중,2020,강서양천,중,미활용,서울특별시 강서구 가양동 1476
1,서울,염강초,2020,강서양천,초,미활용,서울특별시 강서구 가양동 1492
2,강원,가산초 품걸분교장,2005,춘천,초,대부,강원도 춘천시 동면 품걸리 75-1
3,강원,가정초등학교,2009,춘천,초,자체활용,강원도 춘천시 남면 가정리 838-1
4,강원,가천초등학교,1994,횡성,초,대부,강원도 횡성군 강림면 강림리 212
5,강원,가평초등학교,2020,평창,초,대부,강원도 평창군 대화면 하안미리 417
6,강원,간성초 선혜분교장,1990,고성,초,대부,강원도 고성군 간성읍 탑동2리 산142-1
7,강원,간척초등학교,1999,화천,초,대부,강원도 화천군 간동면 간척리 474
8,강원,갈래초 대성분교장,1998,정선,초,미활용,강원도 정선군 고한읍 고한리 334-65
9,강원,갑천초 금성분교장,2018,횡성,초,대부,강원도 횡성군 갑천면 하대리 44
10,강원,강림초 부곡분교장,2011,횡성,초,대부,강원도 횡성군 강림면 부곡리 617
11,강원,강림초 월현분교장,1995,횡성,초,대부,강원도 횡성군 강림면 월현리 1314
12,강원,강포초등학교,2012,철원,초,대부,강원도 철원군 갈말읍   강포리 81-4
13,강원,거진초 송정분교장,2016,고성,초,자체활용,강원도 고성군 거진읍 송정리 139
14,강원,계촌초 대미분교장,2012,평창,초,대부,강원도 평창군 방림면 계촌리 520
15,강원,계촌초 방의분교장,1994,평창,초,미활용,강원도 평창군 방림면 계촌리 2290
16,강원,공근초 광덕분교장,2012,횡성,초,대부,강원도 횡성군 공근면 초원리 134-1
17,강원,광덕초등학교,2005,양구,초,대부,강원도 양구군 남면 적리 490-1
18,강원,구송초 화성분교장,2007,홍천,초,대부,강원도 홍천군 화촌면 구성포리 950-2
19,강원,군평초등학교,1999,홍천,초,대부,강원도 홍천군 화촌면 장평리 887-1
20,강원,궁촌초 양지분교장,1994,삼척,초,대부,강원도 삼척시 근덕면  궁촌리 23
21,강원,귀래초 귀운분교장,2016,원주,초,미활용,강원도 원주시 귀래면 귀래리 1343
22,강원,근덕초 교곡분교장,1999,삼척,초,대부,강원도 삼척시 근덕면  교ㅤㄱㅛㄱ리 253
23,강원,근덕초 노곡분교장,2016,삼척,초,미활용,강원도 삼척시 노곡면 하월산리 162-3
24,강원,근덕초 동막분교장,2018,삼척,초,미활용,강원도 삼척시 근덕면 동막리 381
25,강원,근덕초 마읍분교장,2016,삼척,초,미활용,강원도 삼척시 노곡면 중마읍리 102
26,강원,금병초 혈동분교장,1998,춘천,초,대부,강원도 춘천시 신동면 혈동리 170
27,강원,기화초 한탄분교장,1994,평창,초,대부,강원도 평창군 미탄면 한탄리 231
28,강원,남산초 발산분교장,2006,춘천,초,대부,강원도 춘천시 남면 발산리 77-3
29,강원,남산초 삼창분교장,1997,홍천,초,대부,강원도 홍천군 홍천읍 삼마치리 174-1
30,강원,남산초 장전분교장,1997,홍천,초,자체활용,강원도 홍천군 홍천읍 장전평리 252
31,강원,남선초 광덕분교장,2005,정선,초,대부,강원도 정선군 남면 광덕리 1058
32,강원,남선초 자미분교장,1994,정선, 초,대부,강원도 정선군 남면 문곡리 265-1
33,강원,남천초등학교장,2008,속초양양,초,미활용,강원도 양양군 현북면 도리19
34,강원,남평초 문곡분교장,1993,정선,초,미활용,강원도 정선군 북평면 문곡리 265-1
35,강원,내덕초,2000,영월,초,미활용,강원도 영월군 상동읍 내덕리 227-2
36,강원,내촌초 동창분교장,2021,홍천,초,미활용,강원도 홍천군 내촌면 동창로 143
37,강원,내촌초 신촌분교장,1997,홍천,초,대부,강원도 홍천군 내촌면 물걸리 1206-1
38,강원,내촌초 연지분교장,1999,홍천,초,대부,강원도 홍천군 내촌면 화상대리 130-1
39,강원,내촌초 와야분교장,2009,홍천,초,대부,강원도 홍천군 내촌면 와야리 881-1
40,강원,내촌초 협성분교장,1999,홍천,초,대부,강원도 홍천군 두촌면 괘석리 420-1
41,강원,노곡초 여삼분교장,1995,삼척,초,대부,강원도 삼척시 노곡면  여삼리 193-5
42,강원,노림초등학교,2004,원주,초,대부,강원도 원주시 부론면 노림리 403
43,강원,노천초 화방분교장,1994,홍천,초,대부,강원도 홍천군 동면 노천리 623-1
44,강원,다수초등학교,1999,평창,초,미활용,강원도 평창군 평창읍 다수리 304
45,강원,대붕초등학교,1999,화천,초,자체활용,강원도 화천군 화천읍 대이리 98-3
46,강원,대진초 마달분교장,1994,고성,초,대부,강원도 고성군 현내면 마달리 198
47,강원,대화초 개수분교장,1999,평창,초,대부,강원도 평창군 대화면 개수리 742-1
48,강원,도계초 동덕분교장,2007,삼척,초,미활용,강원도 삼척시 도계읍 상덕리 89-1
49,강원,두일초등학교,2009,평창,초,대부,강원도 평창군 진부면 두일리 144-2
50,강원,두촌초 원동분교장,1996,홍천,초,미활용,강원도 홍천군 두촌면 원동리 212
51,강원,두촌초 장남분교장,1996,홍천,초,대부,강원도 홍천군 두촌면 장남리 473-1
52,강원,둔내초 덕성분교장,2016,횡성,초,미활용,강원도 횡성군 둔내면 화동리 504-1
53,강원,둔내초 영호분교장,2008,횡성,초,미활용,강원도 횡성군 둔내면 영랑리 363
54,강원,둔내초 조항분교장,1999,횡성,초,대부,강원도 횡성군 둔내면 조항리 554-5
55,강원,등매초 유포분교장,1997,평창,초,대부,강원도 평창군 봉평면 유포리 597-5
56,강원,마읍초 주지분교장,1992,삼척,초,대부,강원도 삼척시 노곡면  주지리 180
57,강원,마차초 공기분교장,2020,영월,초,대부,강원도 영월군 북면  공기리 799
58,강원,마차초 연덕분교장,2018,영월,초,미활용,강원도 영월군 북면 연덕리 604-4
59,강원,마현초등학교,2007,철원,초,대부,강원도 철원군 근남면 마현리 1270
60,강원,만천초 명성분교장,2000,춘천,초,대부,강원도 춘천시 동면 상걸리 336
61,강원,맹방초 금계분교장,1995,삼척,초,대부,강원도 삼척시 근덕면  금계리 193
62,강원,모곡초 동막분교장,1993,홍천,초,미활용,강원도 홍천군 서면 동막리 473-1
63,강원,무이초 흥정분교장,1996,평창,초,대부,강원도 평창군 봉평면 흥정리 356
64,강원,문곡초 덕상분교장,1996,영월,초,미활용,강원도 영월군 북면 덕상리 275-2
65,강원,문막초 취병분교장,2014,원주,초,대부,강원도 원주시 문막읍 취병리 358
66,강원,문혜초 대곡분교장,1995,철원,초,미활용,강원도 철원군 갈말읍 문혜리 48-1
67,강원,미동초 하사미분교장,1995,태백,초,미활용,강원도 태백시 하사미동 163-1
68,강원,미로초 동산분교장,1998,삼척,초,미활용,강원도 삼척시 미로면 동산리 49-1
69,강원,미로초 천기분교장,2002,삼척,초,미활용,강원도 삼척시 미로면 상정리 187
70,강원,반계초 대둔분교장,1999,원주,초,대부,강원도 원주시 문막읍 대둔리 31
71,강원,반곡초 팔봉분교장,1999,홍천,초,대부,강원도 홍천군 서면 팔봉리 814-1
72,강원,발산중학교,2002,춘천,중,대부,강원도 춘천시 남면  발산리 642
