노선명,Unnamed: 0,ac_monthly_1,ac_monthly_2,ac_monthly_3,ac_monthly_4,ac_monthly_5,ac_monthly_6,ac_monthly_7,ac_monthly_8,ac_monthly_9,ac_monthly_10,ac_monthly_11,ac_monthly_12,solared_mon_1,solared_mon_2,solared_mon_3,solared_mon_4,solared_mon_5,solared_mon_6,solared_mon_7,solared_mon_8,solared_mon_9,solared_mon_10,solared_mon_11,solared_mon_12,solrad_annual,ac_annual,lat,lng,면적
경강선,465,237729.2678229,219804.6613794,276527.27893010003,243985.24212870002,255299.570384,235598.7811979,205148.3691248,233601.9972517,206399.6180357,231827.308104,166071.2513425,192578.4410521,151.78782272499998,158.720232008,184.013069145,170.080460075,174.867924686,171.179749013,143.25137854300002,163.96728467900002,148.257380487,158.410407548,113.968998195,124.236154564,155.228405466,2704571.927913,1155.87157778,3952.3565694999998,12028
경부고속선,1862278,3460110.1374526,3273865.4796961,3985379.0975507,3670349.9489841,3805647.4063347,3181410.2982463,2891130.6263451,3051551.069222,3011641.353695,3425049.0364944,2267158.6405495,2986266.9947202,499.060918312,530.070697298,597.790336146,571.946518435,588.879757897,512.294837962,449.989829059,483.681070353,479.85208371,527.959595219,350.38360093800003,434.377215606,502.190532662,39009560.62495,3616.70104347,12797.4218214,172574
경부선,7098088,29625466.28882528,26942225.53379284,32413473.477371078,29618533.72542649,30664038.83860209,25634361.52914196,24418958.86252034,25972709.63219127,26053392.70294727,27852811.76280566,21473935.51396895,26156358.47771748,7300.398204831,7539.27364215,8403.730664192,8021.636220906,8199.711467804,7131.776124453,6621.51614797,7101.657897942,7199.889064887,7350.8933077560005,5745.896850577,6516.904884383,7261.107109511,326826265.5888032,51399.77535275,185318.0938997,1440647
경의선(선로상부),583203,1489506.6869855,1433731.2332328,1653266.9878751,1488263.7608666,1658198.8804213,1518849.8248450998,1220841.2429158,1229722.3266579,1396331.7798768,1632847.5592735,1028957.2406584,1391356.9979415,148.11821793000001,161.73209999600002,171.488203058,162.865949641,177.91394710400002,172.135859491,133.724410522,134.75079535,156.789916998,173.56721068000002,110.235075952,138.806519522,153.51067400600002,17141875.317688998,1164.74403277,3934.1079175,76254
경전선,27304412,68927588.09559202,63673734.48793226,79078270.91272105,69706363.85624547,71435882.9557896,58808817.99200525,58017185.87740847,62591224.70996055,61895319.14288555,66786803.39167859,48141208.88328682,61786079.083523,18555.72427196,19331.596908568,22203.581553654,20566.899036693,20704.439709379,17610.032830141,17174.067909173,18607.286258584,18786.16618358,19111.233176782,13887.225223887,16730.770929089,18605.75184475,770848492.1747525,129416.45486388,471677.9645016,3417817
경전선 추가,7431925,8490916.65777969,7937102.51828277,9927536.60046734,8783529.66736697,9001721.81338708,7352758.68927081,7256972.78558279,7598603.38797201,7493864.09933843,8875732.98200736,5898406.78203548,7321146.83013517,2568.63442471,2702.676554692,3164.476723666,2933.139647889,2920.778145697,2473.104070734,2403.692156641,2553.176000578,2519.968483413,2873.492077986,1941.954506583,2220.221511761,2606.2762089029998,95938295.9556417,18548.2300075,67675.7511461,434361
경춘선,1830170,29982679.37140781,29084100.90867984,33321498.82682622,29736815.22258715,31397084.88642837,28719269.27665667,24009801.4938278,27009073.777331788,26659569.29588117,30334819.540785428,20439368.43085118,23662203.75467304,9173.213966285,10113.022219207,10630.817158464,9932.050917569,10314.386964246,9975.703250982,8071.242283275,9110.648180483,9148.176365786001,9843.735577599,6682.26410709,7341.824375049,9194.757218405,334356285.1075906,69611.6767995,235015.7467591,1486837
고속선(선로상부),489879,429981.4373843,395107.69770140003,489986.8677341,440620.9241783,483815.7474936,431131.5929558,376516.2324824,397353.4793279,405953.32794,431054.8803134,277081.6851767,419189.8184109,126.54028607500001,131.373588555,150.689675805,141.327853213,152.830778125,144.018620013,122.108978272,130.176411632,134.18806743300001,135.633506776,86.948063852,123.427449223,131.60527086,4977793.747218,971.09919316,3298.6865411,21708
대전남연결선,2184273,2530541.3381913,2526193.6629379,3042453.8380694,2712797.5831698,2910045.9568416,2525327.9424461,2269457.205802,2356014.7890906,2384757.639863,2510706.5153712,1623985.9871179,2236400.8585822,870.3105067859999,969.251069038,1083.6286468,1002.302019138,1088.3119649779999,966.178582166,856.64580155,892.861343374,926.551366776,912.44030948,601.053306056,772.0740595399999,911.800695386,29628683.318285,6601.89214379,23217.6865422,131855
동해남부선,3615313,7319471.32898189,6320774.13688603,8306060.33210483,7552775.20171362,7958263.85077677,6381897.30968791,6677590.59207346,6862638.56062,7041801.69196643,7189508.49913649,5569549.65232937,6505832.30013592,1935.141994892,1881.256283783,2296.293449427,2189.00482414,2263.448299354,1884.819274449,1927.008599723,1995.371744992,2088.470069016,2035.555086665,1563.144958951,1737.962975059,1983.12323999,83686168.0586163,14293.2918038,52083.1503662,374609
