,연도,시도,시군구,계약종별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
2,2020,서울특별시,종로구,주택용," 23,282,355 "," 22,805,944 "," 21,157,407 "," 20,528,809 "," 19,532,519 "," 21,593,865 "," 23,510,494 "," 26,870,726 "," 26,624,205 "," 19,920,762 "," 20,468,684 "," 22,421,828 "
3,2020,서울특별시,종로구,일반용," 114,495,623 "," 105,338,838 "," 94,326,383 "," 83,914,212 "," 83,334,611 "," 98,931,540 "," 107,842,159 "," 112,964,562 "," 102,740,211 "," 81,058,173 "," 86,290,766 "," 100,322,717 "
4,2020,서울특별시,종로구,교육용," 9,559,773 "," 8,855,042 "," 6,872,377 "," 5,909,347 "," 5,559,426 "," 7,043,982 "," 7,934,770 "," 8,415,305 "," 8,034,215 "," 5,951,326 "," 7,044,572 "," 8,724,295 "
5,2020,서울특별시,종로구,산업용," 6,335,667 "," 6,493,638 "," 6,251,995 "," 5,800,648 "," 5,255,774 "," 6,095,093 "," 6,437,129 "," 5,732,473 "," 6,274,032 "," 4,784,933 "," 5,292,240 "," 5,772,111 "
6,2020,서울특별시,종로구,농사용," 4,382 "," 3,711 "," 3,240 "," 2,617 "," 1,477 ", 933 , 799 , 724 , 585 , 529 , 870 ," 3,224 "
7,2020,서울특별시,종로구,가로등," 918,968 "," 861,967 "," 785,341 "," 745,750 "," 711,923 "," 783,509 "," 630,512 "," 663,441 "," 696,079 "," 741,139 "," 793,099 "," 836,623 "
8,2020,서울특별시,종로구,심 야," 2,962,411 "," 2,818,563 "," 2,347,829 "," 2,003,775 "," 3,390,515 "," 5,531,510 "," 5,845,939 "," 6,851,094 "," 4,511,799 "," 1,911,548 "," 1,556,710 "," 2,252,919 "
9,2020,서울특별시,종로구,합 계," 157,559,179 "," 147,177,703 "," 131,744,572 "," 118,905,158 "," 117,786,245 "," 139,980,432 "," 152,201,802 "," 161,498,325 "," 148,881,126 "," 114,368,410 "," 121,446,941 "," 140,333,717 "
10,2020,서울특별시,중구,주택용," 17,926,495 "," 17,473,124 "," 16,369,475 "," 15,955,398 "," 15,140,205 "," 16,736,946 "," 18,085,749 "," 21,316,502 "," 20,354,856 "," 15,354,467 "," 15,913,459 "," 17,611,351 "
11,2020,서울특별시,중구,일반용," 164,380,237 "," 153,868,457 "," 137,112,796 "," 121,161,976 "," 123,412,464 "," 147,767,485 "," 160,610,981 "," 166,730,663 "," 150,784,596 "," 118,641,887 "," 124,749,017 "," 144,067,588 "
12,2020,서울특별시,중구,교육용," 5,010,288 "," 4,450,342 "," 3,247,614 "," 2,486,954 "," 2,296,145 "," 3,060,096 "," 3,321,411 "," 3,364,840 "," 3,049,790 "," 2,429,250 "," 3,460,489 "," 4,748,354 "
13,2020,서울특별시,중구,산업용," 21,194,227 "," 20,119,606 "," 19,132,428 "," 17,275,107 "," 15,184,452 "," 17,847,513 "," 19,367,890 "," 19,158,642 "," 20,600,887 "," 14,983,635 "," 16,631,857 "," 19,603,492 "
14,2020,서울특별시,중구,가로등," 1,071,213 "," 1,039,001 "," 971,199 "," 929,805 "," 886,000 "," 898,575 "," 887,056 "," 869,171 "," 901,569 "," 919,101 "," 941,761 "," 910,093 "
15,2020,서울특별시,중구,심 야," 643,132 "," 645,085 "," 663,234 "," 673,662 "," 3,457,382 "," 7,568,403 "," 9,163,954 "," 10,359,747 "," 7,710,814 "," 1,989,669 "," 531,184 "," 477,574 "
16,2020,서울특별시,중구,합 계," 210,225,592 "," 197,595,615 "," 177,496,746 "," 158,482,902 "," 160,376,648 "," 193,879,018 "," 211,437,041 "," 221,799,565 "," 203,402,512 "," 154,318,009 "," 162,227,767 "," 187,418,452 "
17,2020,서울특별시,용산구,주택용," 35,791,699 "," 35,281,456 "," 32,615,953 "," 32,378,635 "," 30,608,706 "," 34,063,884 "," 37,628,708 "," 43,604,685 "," 44,780,939 "," 31,932,914 "," 32,656,120 "," 35,451,107 "
18,2020,서울특별시,용산구,일반용," 70,170,184 "," 66,379,427 "," 57,501,475 "," 50,621,757 "," 49,595,275 "," 59,227,688 "," 67,052,665 "," 71,976,440 "," 67,554,332 "," 52,215,042 "," 53,929,280 "," 62,986,219 "
19,2020,서울특별시,용산구,교육용," 5,220,090 "," 4,846,883 "," 3,789,828 "," 3,174,030 "," 2,970,814 "," 3,606,648 "," 4,304,615 "," 4,462,277 "," 4,115,825 "," 3,264,549 "," 3,861,268 "," 4,796,490 "
20,2020,서울특별시,용산구,산업용," 8,988,116 "," 8,747,627 "," 8,348,753 "," 8,099,446 "," 7,806,340 "," 8,466,999 "," 8,823,365 "," 9,275,273 "," 9,374,729 "," 8,060,155 "," 8,379,949 "," 8,872,100 "
21,2020,서울특별시,용산구,가로등," 1,280,201 "," 1,178,342 "," 1,069,046 "," 1,014,169 "," 929,382 "," 878,631 "," 866,307 "," 912,556 "," 967,509 "," 1,028,707 "," 1,106,640 "," 1,159,732 "
22,2020,서울특별시,용산구,심 야," 782,097 "," 745,450 "," 617,353 "," 580,566 "," 729,394 "," 1,648,247 "," 2,265,683 "," 2,637,081 "," 1,811,693 "," 746,601 "," 519,858 "," 592,378 "
23,2020,서울특별시,용산구,합 계," 122,232,387 "," 117,179,185 "," 103,942,408 "," 95,868,603 "," 92,639,911 "," 107,892,097 "," 120,941,343 "," 132,868,312 "," 128,605,027 "," 97,247,968 "," 100,453,115 "," 113,858,026 "
24,2020,서울특별시,성동구,주택용," 38,402,697 "," 38,324,275 "," 35,735,314 "," 35,817,073 "," 33,457,285 "," 35,627,823 "," 38,904,252 "," 43,266,220 "," 48,509,786 "," 34,527,986 "," 34,945,001 "," 36,926,247 "
25,2020,서울특별시,성동구,일반용," 67,153,157 "," 63,841,430 "," 57,186,725 "," 50,963,889 "," 49,146,118 "," 57,192,315 "," 63,276,465 "," 67,160,106 "," 63,344,431 "," 49,497,702 "," 50,622,899 "," 61,863,976 "
26,2020,서울특별시,성동구,교육용," 7,272,121 "," 6,682,789 "," 5,719,110 "," 4,780,937 "," 4,744,248 "," 5,912,235 "," 6,513,217 "," 6,706,066 "," 5,871,510 "," 4,662,378 "," 5,505,728 "," 7,197,171 "
27,2020,서울특별시,성동구,산업용," 78,763,573 "," 75,271,426 "," 71,908,589 "," 70,100,650 "," 67,162,649 "," 71,254,030 "," 75,842,430 "," 80,182,374 "," 80,075,684 "," 67,385,149 "," 69,527,010 "," 74,266,230 "
28,2020,서울특별시,성동구,농사용," 5,001 "," 4,669 "," 4,525 "," 5,310 "," 5,307 "," 2,300 "," 9,202 "," 6,184 "," 2,926 "," 9,264 "," 5,266 "," 4,563 "
29,2020,서울특별시,성동구,가로등," 1,063,996 "," 1,051,057 "," 962,614 "," 897,590 "," 847,948 "," 776,016 "," 750,303 "," 784,065 "," 806,925 "," 881,371 "," 947,649 "," 983,834 "
30,2020,서울특별시,성동구,심 야," 462,297 "," 448,172 "," 342,368 "," 220,153 "," 196,794 "," 224,487 "," 348,567 "," 363,965 "," 355,970 "," 86,872 "," 156,481 "," 299,416 "
31,2020,서울특별시,성동구,합 계," 193,122,842 "," 185,623,818 "," 171,859,245 "," 162,785,602 "," 155,560,349 "," 170,989,206 "," 185,644,436 "," 198,468,980 "," 198,967,232 "," 157,050,722 "," 161,710,034 "," 181,541,437 "
32,2020,서울특별시,동대문구,주택용," 44,422,964 "," 43,941,652 "," 41,198,259 "," 41,243,800 "," 38,685,983 "," 41,256,909 "," 45,110,052 "," 50,117,400 "," 54,356,948 "," 39,543,645 "," 40,177,050 "," 43,056,837 "
33,2020,서울특별시,동대문구,일반용," 58,228,358 "," 56,079,138 "," 49,028,330 "," 43,931,060 "," 41,587,246 "," 47,897,338 "," 54,294,797 "," 57,140,779 "," 55,090,060 "," 41,607,469 "," 43,314,580 "," 50,403,606 "
34,2020,서울특별시,동대문구,교육용," 8,702,600 "," 8,046,763 "," 6,406,774 "," 5,206,400 "," 4,772,975 "," 5,718,815 "," 6,549,938 "," 6,734,031 "," 6,198,915 "," 4,997,756 "," 6,169,452 "," 8,215,037 "
35,2020,서울특별시,동대문구,산업용," 15,205,427 "," 14,678,823 "," 13,622,395 "," 12,822,830 "," 11,979,755 "," 13,339,120 "," 14,776,475 "," 15,287,197 "," 15,332,523 "," 12,226,007 "," 13,031,756 "," 14,277,273 "
36,2020,서울특별시,동대문구,농사용," 12,454 "," 11,876 "," 10,072 "," 9,027 "," 6,462 "," 5,541 "," 3,954 "," 4,175 "," 4,078 "," 4,795 "," 8,638 "," 11,766 "
37,2020,서울특별시,동대문구,가로등," 1,022,115 "," 955,307 "," 889,968 "," 791,479 "," 729,523 "," 672,408 "," 655,744 "," 700,479 "," 752,284 "," 825,218 "," 907,178 "," 960,122 "
38,2020,서울특별시,동대문구,심 야," 637,287 "," 600,744 "," 482,772 "," 356,583 "," 391,848 "," 527,478 "," 543,388 "," 717,355 "," 440,836 "," 182,763 "," 268,488 "," 604,712 "
39,2020,서울특별시,동대문구,합 계," 128,231,205 "," 124,314,303 "," 111,638,570 "," 104,361,179 "," 98,153,792 "," 109,417,609 "," 121,934,348 "," 130,701,416 "," 132,175,644 "," 99,387,653 "," 103,877,142 "," 117,529,353 "
40,2020,서울특별시,성북구,주택용," 53,291,640 "," 52,987,775 "," 49,633,389 "," 50,087,577 "," 46,921,728 "," 49,226,612 "," 52,490,239 "," 59,116,657 "," 64,897,344 "," 47,365,001 "," 48,617,224 "," 51,816,822 "
41,2020,서울특별시,성북구,일반용," 49,274,828 "," 47,163,812 "," 41,299,626 "," 36,744,321 "," 34,194,241 "," 40,574,491 "," 45,238,740 "," 47,980,199 "," 45,826,233 "," 35,599,345 "," 37,029,303 "," 42,488,721 "
42,2020,서울특별시,성북구,교육용," 16,077,942 "," 14,963,115 "," 12,077,301 "," 10,282,902 "," 9,474,829 "," 12,492,831 "," 13,144,269 "," 13,541,202 "," 12,856,926 "," 9,844,619 "," 12,094,545 "," 15,689,766 "
43,2020,서울특별시,성북구,산업용," 8,628,121 "," 8,602,032 "," 8,252,332 "," 7,699,771 "," 7,656,124 "," 8,811,238 "," 8,974,930 "," 8,917,004 "," 8,764,193 "," 7,350,302 "," 7,973,924 "," 8,499,911 "
44,2020,서울특별시,성북구,농사용," 3,298 "," 3,529 "," 3,060 "," 3,435 "," 3,698 "," 4,293 "," 5,025 "," 5,306 "," 5,542 "," 3,549 "," 2,613 "," 3,108 "
45,2020,서울특별시,성북구,가로등," 1,309,441 "," 1,210,273 "," 1,117,021 "," 1,042,480 "," 954,036 "," 890,620 "," 888,874 "," 944,244 "," 1,010,274 "," 1,108,239 "," 1,194,913 "," 1,253,823 "
46,2020,서울특별시,성북구,심 야," 2,203,115 "," 2,120,531 "," 1,733,437 "," 1,306,047 "," 960,826 "," 958,955 "," 923,355 "," 1,089,380 "," 814,508 "," 524,486 "," 1,030,143 "," 1,657,611 "
47,2020,서울특별시,성북구,합 계," 130,788,385 "," 127,051,067 "," 114,116,166 "," 107,166,533 "," 100,165,482 "," 112,959,040 "," 121,665,432 "," 131,593,992 "," 134,175,020 "," 101,795,541 "," 107,942,665 "," 121,409,762 "
48,2020,서울특별시,도봉구,주택용," 37,852,726 "," 37,668,860 "," 35,045,095 "," 35,339,296 "," 33,008,709 "," 34,560,575 "," 35,983,661 "," 41,804,246 "," 42,889,743 "," 32,735,033 "," 34,547,213 "," 37,047,546 "
49,2020,서울특별시,도봉구,일반용," 32,561,481 "," 30,934,007 "," 26,852,116 "," 24,212,561 "," 23,205,016 "," 26,603,974 "," 29,759,364 "," 31,618,914 "," 30,189,358 "," 23,162,588 "," 24,345,039 "," 27,598,008 "
50,2020,서울특별시,도봉구,교육용," 3,762,536 "," 3,357,960 "," 2,477,393 "," 1,867,916 "," 1,497,050 "," 1,562,726 "," 2,071,373 "," 1,906,741 "," 2,048,456 "," 1,457,701 "," 2,125,908 "," 3,221,303 "
51,2020,서울특별시,도봉구,산업용," 5,116,772 "," 4,898,335 "," 4,638,782 "," 4,406,470 "," 3,920,960 "," 4,425,098 "," 4,803,423 "," 4,730,112 "," 4,848,897 "," 3,935,643 "," 4,534,525 "," 4,733,561 "
52,2020,서울특별시,도봉구,농사용," 25,121 "," 27,390 "," 25,564 "," 26,497 "," 24,967 "," 21,172 "," 22,928 "," 21,975 "," 24,715 "," 19,718 "," 24,145 "," 29,827 "
53,2020,서울특별시,도봉구,가로등," 590,981 "," 546,931 "," 498,783 "," 462,858 "," 417,028 "," 390,269 "," 384,244 "," 411,312 "," 440,626 "," 486,673 "," 536,454 "," 605,793 "
54,2020,서울특별시,도봉구,심 야," 598,634 "," 591,893 "," 478,081 "," 352,797 "," 267,035 "," 301,334 "," 255,570 "," 288,393 "," 172,164 "," 145,771 "," 302,930 "," 461,691 "
55,2020,서울특별시,도봉구,합 계," 80,508,251 "," 78,025,376 "," 70,015,814 "," 66,668,395 "," 62,340,765 "," 67,865,148 "," 73,280,563 "," 80,781,693 "," 80,613,959 "," 61,943,127 "," 66,416,214 "," 73,697,729 "
56,2020,서울특별시,은평구,주택용," 55,905,306 "," 55,574,086 "," 51,960,982 "," 52,517,377 "," 49,438,839 "," 51,706,678 "," 54,858,870 "," 63,817,161 "," 68,506,892 "," 50,368,420 "," 52,158,405 "," 56,041,123 "
57,2020,서울특별시,은평구,일반용," 50,293,919 "," 48,766,549 "," 41,761,242 "," 37,941,889 "," 36,619,189 "," 41,428,724 "," 46,223,974 "," 49,994,293 "," 47,978,880 "," 36,858,823 "," 37,951,623 "," 42,875,127 "
